거창	2022	638.8
거창	2023	1625.4
거창	2024	1226
합천	2020	1733.5
합천	2021	1146.4
합천	2022	794.3
합천	2023	1771.4
합천	2024	1267.2
밀양	2020	1398.8
밀양	2021	1202.5
밀양	2022	843.2
밀양	2023	1874
밀양	2024	1200.9
산청	2020	2136.8
산청	2021	1142.8
산청	2022	971.4
산청	2023	1938.2
산청	2024	1513.5
거제	2020	2481.8
거제	2021	2227.9
거제	2022	1294.1
거제	2023	2585.5
거제	2024	2213.4
남해	2020	2258
남해	2021	1981.4
남해	2022	1338.2
남해	2023	2699.2
남해	2024	2375.1
북부산	2023	1973.5
북부산	2024	1613.5
